,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
256, 11-08-2019,12:09:18 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
257, 11-07-2019,10:40:29 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,17
258, 11-06-2019,9:34:56 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
259, 11-06-2019,9:32:30 PM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,3
260, 11-05-2019,5:02:02 PM,TORONTO ON,888 SERV                 SERV 888 ON,F_2,Outgoing,32
261, 11-04-2019,8:37:11 PM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,3
262, 11-04-2019,8:36:11 PM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,1
263, 11-04-2019,7:34:57 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
264, 11-04-2019,7:14:50 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
265, 11-04-2019,2:46:06 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
266, 11-04-2019,2:24:59 PM,TORONTO ON,RICHMONDHL ON,F_3,Outgoing,12
267, 11-04-2019,12:39:08 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,31
268, 11-04-2019,12:30:25 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
269, 11-04-2019,11:39:20 AM,TORONTO ON,TORONTO ON,A_4,Outgoing,4
270, 11-04-2019,9:30:17 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,5
271, 11-04-2019,8:41:48 AM,TORONTO ON,877 SERV                 SERV 877 ON,F_4,Outgoing,3
272, 11-04-2019,8:05:13 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,6
273, 11-02-2019,7:56:55 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
274, 11-01-2019,6:42:36 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,19
275, 11-01-2019,11:05:46 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,9
276, 10-31-2019,4:49:37 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,18
277, 10-31-2019,1:02:56 PM,TORONTO ON,OAK RIDGES ON,E_1,Outgoing,2
278, 10-30-2019,7:43:37 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
279, 10-29-2019,10:00:41 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
280, 10-29-2019,9:59:59 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
281, 10-29-2019,6:12:15 PM,TORONTO ON,OAK RIDGES ON,B_4,Outgoing,2
282, 10-29-2019,5:43:01 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
283, 10-29-2019,12:27:46 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
284, 10-29-2019,8:59:15 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,3
285, 10-29-2019,8:57:00 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
286, 10-29-2019,8:48:51 AM,CLAREMONT ON,OAK RIDGES ON,A_5,Outgoing,1
287, 10-29-2019,8:46:17 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
288, 10-29-2019,8:44:15 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,1
289, 10-27-2019,3:12:37 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
290, 10-27-2019,1:27:11 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
291, 10-27-2019,1:09:49 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,11
292, 10-27-2019,12:06:39 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,6
293, 10-26-2019,12:38:44 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,6
294, 10-25-2019,7:22:26 PM,TORONTO ON,TORONTO ON,C_4,Outgoing,14
295, 10-25-2019,10:33:56 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,9
296, 10-25-2019,10:29:36 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
297, 10-25-2019,10:29:17 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
298, 10-25-2019,10:28:59 AM,TORONTO ON,TORONTO ON,A_4,Outgoing,1
299, 10-24-2019,11:20:58 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
300, 10-24-2019,11:18:47 PM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
301, 10-24-2019,7:24:30 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,13
302, 10-23-2019,4:09:22 PM,TORONTO ON,TORONTO ON,F_5,Outgoing,3
303, 10-23-2019,3:59:06 PM,TORONTO ON,THORNHILL ON,G_1,Outgoing,7
304, 10-23-2019,3:51:25 PM,TORONTO ON,THORNHILL ON,G_1,Outgoing,8
305, 10-23-2019,3:29:23 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,11
306, 10-23-2019,7:16:01 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
307, 10-22-2019,12:06:59 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,3
308, 10-22-2019,12:02:56 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,4
309, 10-22-2019,10:52:41 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
